INN	VIE	250
IYK	LAX	123
FRA	IST	1158
DEN	JAC	406
JAC	MCI	937
JAC	MIA	2115
JAC	MSY	1468
JAC	TPA	1912
CLT	JAX	329
JAX	ORD	866
JAX	PHL	743
IAD	JAX	631
CLT	OAJ	190
FRA	JNB	5405
OGG	ORD	4182
HNL	OGG	100
LIH	OGG	201
LAX	OGG	2485
OGG	PDX	2564
OGG	SFO	2339
OGG	SEA	2642
AZO	ORD	121
ABQ	MCI	717
BIL	MCI	834
MCI	ORD	402
CLE	MCI	717
COS	MCI	537
DAY	MCI	642
DEN	MCI	531
MCI	PHL	1078
MCI	PHX	1133
MCI	RNO	1334
MCI	SLC	921
MCI	SEA	1554
MCI	YYZ	836
DCA	MCI	1013
HNL	JHM	84
FRA	KTW	465
DEN	EAR	304
EAR	OFK	119
EYW	MIA	125
EYW	MCO	269
EYW	TPA	241
FRA	KBP	985
KLU	VIE	145
ORD	TYS	475
IAD	TYS	419
KOA	ORD	4211
HNL	KOA	163
KOA	LAX	2504
KOA	SNA	2530
KOA	SFO	2368
KOA	SEA	2691
FRA	KWI	2500
FRA	LOS	3021
HNL	LNY	72
LAN	ORD	178
DEN	LAR	113
ANC	LAS	2303
ATL	LAS	1744
BWI	LAS	2103
BOS	LAS	2377
CLT	LAS	1913
LAS	ORD	1512
CLE	LAS	1822
CMH	LAS	1768
DFW	LAS	1054
DEN	LAS	628
DTW	LAS	1749
FAT	LAS	258
BDL	LAS	2293
IAH	LAS	1490
LAS	LHR	5221
LAS	LAX	236
LAS	MHT	2353
LAS	MIA	2173
LAS	MSP	1307
LAS	MSY	1690
LAS	OMA	1099
LAS	PSP	173
LAS	PHL	2173
LAS	PIT	1907
LAS	PDX	763
LAS	SFO	413
LAS	SEA	867
LAS	YYZ	1940
IAD	LAS	2062
CDG	ZLN	128
LBA	LHR	172
FRA	LEJ	187
BJX	LAX	1367
LEX	ORD	323
DEN	LBL	279
LIH	ORD	4286
ITO	LIH	318
HNL	LIH	101
LIH	OGG	201
KOA	LIH	264
LAX	LIH	2614
LIH	SFO	2447
LIH	SEA	2702
XDB	XRF	3502
CDG	XDB	110
LNK	ORD	465
DEN	LNK	422
LNZ	VIE	110
FRA	LIS	1165
LIS	MUC	1234
AMS	LHR	230
BKK	LHR	5939
Cit	LHR	312
BRU	LHR	218
LHR	ORD	3945
CGN	LHR	332
CPH	LHR	609
DFW	LHR	4747
DEN	LHR	4662
DUB	LHR	279
DUS	LHR	311
EDI	LHR	331
FRA	LHR	407
GLA	LHR	344
GOT	LHR	664
HAM	LHR	463
HNL	LHR	7232
LAS	LHR	5221
LBA	LHR	172
LAX	LHR	5448
LHR	MAN	150
LHR	MUC	585
JFK	LHR	3445
EWR	LHR	3459
LHR	NCE	647
LHR	MCO	4332
LHR	OSL	749
CDG	LHR	216
LHR	SAN	5477
LHR	SFO	5359
LHR	SEA	5662
ARN	LHR	909
LHR	STR	470
LHR	TPA	4406
LHR	MME	213
LHR	VIE	793
IAD	LHR	3670
AMS	LAX	5570
APW	LAX	4830
ATL	LAX	1944
AKL	LAX	6523
BFL	LAX	109
BWI	LAX	2326
BKK	LAX	8260
BOS	LAX	2608
LAX	YYC	1208
CUN	LAX	2119
CLD	LAX	86
CLT	LAX	2122
LAX	ORD	1743
COS	LAX	833
CMH	LAX	2038
DFW	LAX	1233
DEN	LAX	861
DTW	LAX	1982
FRA	LAX	5798
FAT	LAX	209
GDL	LAX	1309
GUA	LAX	2196
HKG	LAX	7255
HNL	LAX	2555
IPL	LAX	180
IYK	LAX	123
JAC	LAX	1267
LAX	OGG	2485
KOA	LAX	2504
LAS	LAX	236
BJX	LAX	1367
LAX	LIH	2614
LAX	LHR	5448
LAX	MZT	1047
LAX	MEL	7935
LAX	MEX	1555
LAX	MIA	2340
LAX	MRY	266
LAX	YUL	2471
LAX	MLM	1444
LAX	MUC	5981
LAX	NAN	5531
LAX	MSY	1668
JFK	LAX	2472
EWR	LAX	2451
LAX	OAK	337
LAX	OMA	1332
LAX	ONT	46
LAX	SNA	36
LAX	MCO	2215
LAX	OXR	49
LAX	PSP	109
LAX	PPT	4112
CDG	LAX	5662
LAX	PHL	2398
LAX	PHX	369
LAX	PIT	2133
LAX	PDX	835
LAX	RAR	4687
GIG	LAX	6244
LAX	SMF	373
LAX	SLC	590
LAX	SAT	1656
LAX	SAN	109
LAX	SFO	337
LAX	SJC	308
LAX	SJO	2728
LAX	SJD	913
LAX	SBP	155
LAX	SAL	2322
LAX	SBA	88
LAX	SMX	134
GRU	LAX	6169
LAX	SEA	956
ICN	LAX	5988
LAX	SIN	8771
LAX	SGU	347
LAX	SYD	7502
LAX	NRT	5445
LAX	YYZ	2173
LAX	TUS	450
LAX	YVR	1082
IAD	LAX	2285
LAX	YUM	237
LAX	ZCL	1221
CLT	SDF	335
ORD	SDF	287
FRA	LYS	338
LYS	MUC	364
CDG	XYD	252
MSN	ORD	108
DEN	MSN	824
MAD	PHL	3676
FRA	MLA	1024
GRU	MAO	1677
ABZ	MAN	266
MAN	ORD	3819
EDI	MAN	184
FRA	MAN	517
GLA	MAN	194
LHR	MAN	150
IAD	MAN	3559
CLT	MHT	737
MHT	ORD	841
DEN	MHT	1727
MHT	OAK	2674
MHT	PHL	289
MHT	PIT	484
IAD	MHT	418
FRA	MRS	483
MRS	MUC	464
CDG	XRF	3393
LAX	MZT	1047
DEN	MCK	217
DEN	MFR	962
EUG	MFR	122
MFR	PDX	222
MFR	SFO	329
AKL	MEL	1640
MEL	ORD	9676
LAX	MEL	7935
MEL	SYD	438
MEM	ORD	492
DEN	MEM	871
BOS	MEX	2279
CUN	MEX	798
MEX	ORD	1691
DEN	MEX	1451
GDL	MEX	285
GUA	MEX	657
LAX	MEX	1555
MEX	MIA	1275
LGA	MEX	2423
EWR	MEX	2079
MEX	SAT	699
